method,selection_rule,requested_coverage,actual_coverage,mean_confidence,mean_support,auroc,prauc,brier,slope,n,positives,prevalence
knn_400,combined,0.4,0.3997289972899729,0.6450590488409285,12.053968577599122,0.6435087719298246,0.0634781142732631,0.0533068526752071,2.6133548639510935,295,10,0.03389830508474576
knn_400,combined,0.5,0.5,0.637683206591139,12.615532697558725,0.6767502160760588,0.08559517687598768,0.05499164615796901,2.984637451134851,369,13,0.03523035230352303
knn_400,combined,0.6,0.6002710027100271,0.6292006389894997,13.088982949111584,0.6462303231151616,0.0642626834637228,0.058479432057806834,2.2668839480123313,443,17,0.03837471783295711
knn_400,combined,0.7,0.7005420054200542,0.620964719413278,13.58474353722493,0.5980716253443527,0.059381641520740075,0.06268942414595996,1.4663816558403817,517,22,0.0425531914893617
knn_400,combined,0.8,0.7994579945799458,0.611155173230119,13.871529152740868,0.6174377224199288,0.08650750446504782,0.06668495670525335,1.9266501817933823,590,28,0.04745762711864407
knn_400,combined,0.9,0.8997289972899729,0.6014052402019363,14.305971299639667,0.6361117419940949,0.11668874611164504,0.07074713497770074,2.318518346369479,664,35,0.05271084337349398
knn_400,combined,1.0,1.0,0.5870393099779059,14.853826896436816,0.6478986597613465,0.12149160559116379,0.07441645204723685,2.1307608287876554,738,41,0.05555555555555555
cbknn_10,confidence,0.2,0.2005420054200542,0.6683935491917571,17.31037344223744,0.6349765258215962,0.08157950559635953,0.054357537591678357,9.491374815170355,148,6,0.04054054054054054
cbknn_10,confidence,0.3,0.2994579945799458,0.6597015271092015,15.913567130490126,0.6593934911242604,0.10863867746576475,0.06731175907522384,11.229263617834011,221,13,0.058823529411764705
cbknn_10,confidence,0.4,0.3997289972899729,0.6537356818767487,15.229812919891486,0.5823106220905628,0.07128781241480714,0.06736267342944165,6.896451186857761,295,17,0.0576271186440678
cbknn_10,confidence,0.5,0.5,0.6491892443804604,14.787969215710959,0.5166917293233083,0.07980725429340253,0.06408968442249531,3.6428884712358376,369,19,0.051490514905149054
cbknn_10,confidence,0.6,0.6002710027100271,0.6455698189241953,14.365208486778743,0.47032272624689686,0.043622277460750196,0.06201386719771039,1.3740496658059032,443,21,0.04740406320541761
cbknn_10,confidence,0.7,0.7005420054200542,0.6426100362816394,14.067935994561452,0.4667849898580122,0.046827522016338524,0.06180019848731388,1.386297216116051,517,24,0.04642166344294004
cbknn_10,confidence,0.8,0.7994579945799458,0.6400773500488103,13.80642982543525,0.4853838332486019,0.06155970794875991,0.06278713860860073,1.3792627628945837,590,28,0.04745762711864407
cbknn_10,confidence,0.9,0.8997289972899729,0.6377048204464482,13.601742976473037,0.46435331230283916,0.04566774811587516,0.061701990815002675,1.403471453496452,664,30,0.045180722891566265
cbknn_10,confidence,1.0,1.0,0.6348158688949924,13.606365575150747,0.5666445043216572,0.1435743157101645,0.06836264263544914,5.649808611233269,738,41,0.05555555555555555
cbknn_10,support,0.2,0.2005420054200542,0.6272740451899808,9.273513124279072,0.5612968591691996,0.06436779840141185,0.06434663393208076,1.3979721232440585,148,7,0.0472972972972973
cbknn_10,support,0.3,0.2994579945799458,0.627735704261624,9.817149086883166,0.5864779874213837,0.07012706890745025,0.06010097818825382,11.266118752197187,221,9,0.04072398190045249
cbknn_10,support,0.4,0.3997289972899729,0.6276641342822663,10.29859954050032,0.5937976614133198,0.10055976084662695,0.06428635849480412,11.969740559448976,295,14,0.04745762711864407
cbknn_10,support,0.5,0.5,0.6282521442727849,10.746848987111555,0.5757018716577541,0.11070676206048188,0.06340757159108379,6.432374376114838,369,17,0.04607046070460705
cbknn_10,support,0.6,0.6002710027100271,0.6287676019698938,11.19474537264951,0.5120574162679425,0.08876091168433109,0.06994761341415835,1.3069078371717642,443,25,0.056433408577878104
cbknn_10,support,0.7,0.7005420054200542,0.6300405874504071,11.647349685903214,0.5573063877897118,0.10737657414459177,0.06943577837646804,5.435211582853233,517,29,0.05609284332688588
cbknn_10,support,0.8,0.7994579945799458,0.6305828562578173,12.123206243151325,0.5711332354061259,0.13930832886957736,0.0691746971036212,8.00679466561937,590,33,0.05593220338983051
cbknn_10,support,0.9,0.8997289972899729,0.6320460215781407,12.697963754707072,0.5774946921443737,0.12604975457528592,0.06788483128984227,7.629922300914967,664,36,0.05421686746987952
