rep,scenario,budget_fraction,adapt_n,adapt_pos,test_n,test_pos,auroc,prauc,brier,slope,n,positives,prevalence
10,target_only,0.01,10,2,369,20,0.5,0.05420054200542006,0.07252032520325204,1.3565759077799215,369,20,0.05420054200542006
10,source_plus_target,0.01,10,2,369,20,0.7446991404011462,0.2983522720936567,0.048973606206560764,0.4768645306303958,369,20,0.05420054200542006
10,target_only,0.025,10,3,369,20,0.5,0.05420054200542006,0.11168021680216804,1.4098891342990791,369,20,0.05420054200542006
10,source_plus_target,0.025,10,3,369,20,0.7522922636103153,0.249274148834682,0.05128389224129281,0.47291813200068494,369,20,0.05420054200542006
10,target_only,0.05,18,3,369,20,0.5,0.05420054200542006,0.0639114724480578,1.2817446526953746,369,20,0.05420054200542006
10,source_plus_target,0.05,18,3,369,20,0.763323782234957,0.2737546187263697,0.04765807787001029,0.5292436277438314,369,20,0.05420054200542006
10,target_only,0.1,37,4,369,20,0.5,0.05420054200542006,0.054168868934854446,1.1064117209121564,369,20,0.05420054200542006
10,source_plus_target,0.1,37,4,369,20,0.747134670487106,0.2533814379708471,0.048319999854336125,0.49269855809543794,369,20,0.05420054200542006
10,target_only,0.2,74,4,369,20,0.5395415472779369,0.06535899875869895,0.05419241145318488,0.0703557927674516,369,20,0.05420054200542006
10,source_plus_target,0.2,74,4,369,20,0.7620343839541547,0.30361922122471563,0.046554457377207314,0.5189030854566408,369,20,0.05420054200542006
10,target_only,0.5,184,11,369,20,0.5181948424068767,0.09327170096490751,0.054181207436397365,0.10741351572571219,369,20,0.05420054200542006
10,source_plus_target,0.5,184,11,369,20,0.7962750716332379,0.3811749308385772,0.043512227031477876,0.6596521363811138,369,20,0.05420054200542006
10,target_only,1.0,369,21,369,20,0.6355300859598854,0.15060950107596258,0.05418922932803312,0.35481597635135015,369,20,0.05420054200542006
10,source_plus_target,1.0,369,21,369,20,0.7836676217765043,0.3538877201163433,0.04646882978596126,0.6817224920332322,369,20,0.05420054200542006
11,source_only,0.0,0,0,369,21,0.64272030651341,0.11909173822357708,0.06347198122046101,0.2448560079337747,369,21,0.056910569105691054
11,target_only,0.01,10,2,369,21,0.5,0.056910569105691054,0.07414634146341463,1.332091345660095,369,21,0.056910569105691054
11,source_plus_target,0.01,10,2,369,21,0.6777504105090312,0.1593321069131156,0.0644964133212984,0.30482414960753396,369,21,0.056910569105691054
11,target_only,0.025,10,3,369,21,0.5,0.056910569105691054,0.11276422764227646,1.3845122570631951,369,21,0.056910569105691054
11,source_plus_target,0.025,10,3,369,21,0.6918445539135194,0.1412724067966319,0.06209839158245501,0.31643506335914295,369,21,0.056910569105691054
11,target_only,0.05,18,2,369,21,0.5,0.056910569105691054,0.05660945498343874,1.0965274385949093,369,21,0.056910569105691054
11,source_plus_target,0.05,18,2,369,21,0.6605090311986864,0.1488514150767763,0.06058950298724886,0.29613165684537623,369,21,0.056910569105691054
11,target_only,0.1,37,6,369,21,0.5,0.056910569105691054,0.06474965407068242,1.2472033678437955,369,21,0.056910569105691054
11,source_plus_target,0.1,37,6,369,21,0.6862342638204707,0.19475462216338618,0.057880992815446855,0.34189427921998095,369,21,0.056910569105691054
11,target_only,0.2,74,7,369,21,0.4098248494800219,0.07690218503107295,0.05685602200823087,-0.2283893563358539,369,21,0.056910569105691054
11,source_plus_target,0.2,74,7,369,21,0.6773399014778325,0.11354179323797953,0.061034713967773095,0.27523026825090396,369,21,0.056910569105691054
11,target_only,0.5,184,10,369,21,0.5948275862068966,0.1283678209646747,0.056888280933518505,0.2760411362463011,369,21,0.056910569105691054
11,source_plus_target,0.5,184,10,369,21,0.692391899288451,0.16183321792451635,0.05521579573032346,0.3375081878338876,369,21,0.056910569105691054
11,target_only,1.0,369,20,369,21,0.6128899835796388,0.17213887083982587,0.05687990282716457,0.3848750631009734,369,21,0.056910569105691054
11,source_plus_target,1.0,369,20,369,21,0.7038861521620142,0.16095604337689856,0.054168974750277085,0.36491489045953596,369,21,0.056910569105691054
12,source_only,0.0,0,0,369,20,0.7031518624641834,0.20005644126874927,0.05258613776937391,0.3921531712901528,369,20,0.05420054200542006
12,target_only,0.01,10,2,369,20,0.5,0.05420054200542006,0.07252032520325202,1.3565759077799215,369,20,0.05420054200542006
12,source_plus_target,0.01,10,2,369,20,0.6843839541547279,0.17542325172348883,0.05598442123736736,0.33920381067239713,369,20,0.05420054200542006
12,target_only,0.025,10,2,369,20,0.5,0.05420054200542006,0.07252032520325202,1.3565759077799215,369,20,0.05420054200542006
12,source_plus_target,0.025,10,2,369,20,0.6555873925501432,0.15503797582585863,0.053140574803845805,0.32571921211363664,369,20,0.05420054200542006
12,target_only,0.05,18,2,369,20,0.5,0.05420054200542006,0.0545016561276724,1.116652962802669,369,20,0.05420054200542006
12,source_plus_target,0.05,18,2,369,20,0.6805157593123209,0.1886510441202682,0.05344543227833328,0.3552782277501781,369,20,0.05420054200542006
12,target_only,0.1,37,2,369,20,0.5,0.05420054200542006,0.05126286471045864,0.8904807433740893,369,20,0.05420054200542006
12,source_plus_target,0.1,37,2,369,20,0.6842406876790831,0.19512999950056995,0.05129754537327614,0.3816585715451574,369,20,0.05420054200542006
12,target_only,0.2,74,7,369,20,0.5757879656160458,0.11357239485256736,0.05407351445570351,0.16663128333309368,369,20,0.05420054200542006
12,source_plus_target,0.2,74,7,369,20,0.724785100286533,0.25059284112824975,0.04775471763793283,0.48850681755331216,369,20,0.05420054200542006
12,target_only,0.5,184,13,369,20,0.633810888252149,0.15432040609868342,0.05411271342230291,0.34663394886653826,369,20,0.05420054200542006
12,source_plus_target,0.5,184,13,369,20,0.7455587392550144,0.244382879637711,0.04888606001774392,0.5363200468368482,369,20,0.05420054200542006
12,target_only,1.0,369,21,369,20,0.6342406876790831,0.20290830089774758,0.05417705039015795,0.3867991254721207,369,20,0.05420054200542006
12,source_plus_target,1.0,369,21,369,20,0.7671919770773639,0.2474727099345421,0.04821122751736415,0.5646813880884253,369,20,0.05420054200542006
13,source_only,0.0,0,0,369,20,0.7186246418338109,0.163740127307381,0.054162192689669895,0.36548315368283907,369,20,0.05420054200542006
13,target_only,0.01,10,3,369,20,0.5,0.05420054200542006,0.11168021680216804,1.4098891342990785,369,20,0.05420054200542006
13,source_plus_target,0.01,10,3,369,20,0.6749283667621777,0.11983825611289439,0.05841242575956341,0.2917233996528148,369,20,0.05420054200542006
13,target_only,0.025,10,2,369,20,0.5,0.05420054200542006,0.07252032520325202,1.356575907779922,369,20,0.05420054200542006
13,source_plus_target,0.025,10,2,369,20,0.6922636103151862,0.17025361355116328,0.0525266182943541,0.33794716377990874,369,20,0.05420054200542006
13,target_only,0.05,18,4,369,20,0.5,0.05420054200542006,0.07949412827461608,1.393991115415492,369,20,0.05420054200542006
13,source_plus_target,0.05,18,4,369,20,0.7110315186246419,0.19006077891839104,0.051568811459591406,0.3955746650875762,369,20,0.05420054200542006
13,target_only,0.1,37,5,369,20,0.5,0.05420054200542006,0.057813251616811286,1.1938714341479797,369,20,0.05420054200542006
13,source_plus_target,0.1,37,5,369,20,0.7021489971346705,0.18120697268849045,0.050323593194649005,0.4144395632682733,369,20,0.05420054200542006
